TRYHHCHILD,TEAGE,TESEX,PEEDUCA,PTDTRACE,PEHSPNON,GTMETSTA,TELFS,TEMJOT,TRDPFTPT,TESCHENR,TESCHLVL,TRSPPRES,TESPEMPNOT,TRERNWA,TRCHILDNUM,TRSPFTPT,TEHRUSLT,TRTEC,TRTHH,t010102,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T18,TARGET
0.0,0.6428571428571428,1.0,0.5333333333333337,0.0,1.0,0.5,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.17888318045357793,0.0,0.0,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.2490974729241877,0.0,0.0,0.0,0.0,0.022641509433962263,1
0.0,0.3999999999999999,0.0,0.5333333333333337,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.599999306667776,0.0,0.5,0.3548387096774194,0.0,0.0,0.0,0.02477291494632535,0.06521739130434782,0.0,0.0,0.4156378600823045,0.0,0.0,0.0,0.0,0.0,0.11016949152542373,0.15162454873646208,0.0,0.0,0.0,0.0,0.03018867924528302,1
0.0,0.1142857142857143,0.0,0.8000000000000003,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.20800313386165248,0.0,0.0,0.3790322580645161,0.0,0.0,0.0,0.02477291494632535,0.06521739130434782,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.05084745762711864,0.23826714801444043,0.11602209944751382,0.0,0.0,0.0,0.0490566037735849,2
1.0,0.02857142857142858,1.0,0.40000000000000036,0.2,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.08333333333333333,0.0,0.024193548387096774,0.0,0.0,0.0,0.0495458298926507,0.04891304347826087,0.0,0.0,0.0,0.5222222222222223,0.07142857142857144,0.0,0.0,0.0,0.17796610169491525,0.06498194945848375,0.0,0.0,0.0,0.0,0.007547169811320755,2
0.0,0.1142857142857143,0.0,0.6000000000000001,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.07431874483897605,0.059782608695652176,0.0,0.0,0.0,0.7611111111111111,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.1142857142857143,1.0,0.6000000000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.008257638315441783,0.0,0.0,0.0,0.0,0.7166666666666667,0.0,0.0,0.0,0.0,0.07627118644067796,0.04332129963898917,0.0,0.0,0.0,0.0,0.0,2
1.0,0.02857142857142858,0.0,0.3333333333333335,0.0,0.0,0.0,0.25,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.017336772261164382,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.016515276630883566,0.0,0.0,0.0,0.0,0.6055555555555555,0.0,0.0,0.0,0.0,0.07627118644067796,0.0,0.0,0.0,0.0,0.28915662650602414,0.0490566037735849,1
0.0,0.1285714285714286,1.0,0.5333333333333337,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.15946987818152822,0.0,0.5,0.0,0.0,0.0,0.0,0.03633360858794385,0.0,0.0,0.0,0.4213991769547325,0.0,0.03571428571428572,0.0,0.06593406593406594,0.0,0.02542372881355932,0.15523465703971118,0.0,0.0,0.0,0.03614457831325302,0.017358490566037735,2
0.0,0.1285714285714286,0.0,0.8666666666666667,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.41600280106218496,0.0,0.0,0.3548387096774194,0.0,0.0,0.0,0.012386457473162676,0.0923913043478261,0.0,0.0,0.4609053497942387,0.1,0.0,0.0,0.0,0.0,0.0847457627118644,0.08664259927797834,0.08839779005524863,0.0,0.0,0.0,0.056603773584905655,0
0.0,0.1142857142857143,0.0,0.666666666666667,0.06666666666666667,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.23573642282172347,0.0,0.0,0.4354838709677419,0.0,0.0,0.0,0.0,0.02391304347826087,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.18050541516245486,0.0,0.0,0.0,0.0,0.0,1
